Main.Group,Family,Alt.Family,Genus,Form,Primary.Obs,Secondary.Obs,References.For.Family,Notes.For.Family
ANGIOSPERMS - DICOTYLEDONS,Myrtaceae,,Calytrix,"shrubs, trees",VAM,,"McGee 1986, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, McKenzie et al. 1999, Gehring 2003, Gehring & Connell 2006.","VAM only - McGee 1986, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, McKenzie et al. 1999 (Metrosideros), Gehring 2003, Gehring & Connell 2006."
ANGIOSPERMS - DICOTYLEDONS,Myrtaceae,,Baeckea,"shrubs, trees",VAM,,"McGee 1986, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, McKenzie et al. 1999, Gehring 2003, Gehring & Connell 2006.","VAM only - McGee 1986, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, McKenzie et al. 1999 (Metrosideros), Gehring 2003, Gehring & Connell 2006."
ANGIOSPERMS - DICOTYLEDONS,Myrtaceae,,Hypocalymma,"shrubs, trees",VAM,,"McGee 1986, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, McKenzie et al. 1999, Gehring 2003, Gehring & Connell 2006.","VAM only - McGee 1986, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, McKenzie et al. 1999 (Metrosideros), Gehring 2003, Gehring & Connell 2006."
ANGIOSPERMS - DICOTYLEDONS,Myrtaceae,,Metrosideros,"shrubs, trees",VAM,,"McGee 1986, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, McKenzie et al. 1999, Gehring 2003, Gehring & Connell 2006.","VAM only - McGee 1986, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, McKenzie et al. 1999 (Metrosideros), Gehring 2003, Gehring & Connell 2006."
ANGIOSPERMS - DICOTYLEDONS,Myrtaceae,,Rhodomyrtus,"shrubs, trees",VAM,,"McGee 1986, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, McKenzie et al. 1999, Gehring 2003, Gehring & Connell 2006.","VAM only - McGee 1986, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, McKenzie et al. 1999 (Metrosideros), Gehring 2003, Gehring & Connell 2006."
ANGIOSPERMS - DICOTYLEDONS,Myrtaceae,,Syzygium,"shrubs, trees",VAM,,"McGee 1986, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, McKenzie et al. 1999, Gehring 2003, Gehring & Connell 2006.","VAM only - McGee 1986, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, McKenzie et al. 1999 (Metrosideros), Gehring 2003, Gehring & Connell 2006."
ANGIOSPERMS - DICOTYLEDONS,Myrtaceae,,Verticordia,"shrubs, trees",VAM,,"McGee 1986, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, McKenzie et al. 1999, Gehring 2003, Gehring & Connell 2006.","VAM only - McGee 1986, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, McKenzie et al. 1999 (Metrosideros), Gehring 2003, Gehring & Connell 2006."
ANGIOSPERMS - DICOTYLEDONS,Myrtaceae,,Xanthostemon,"shrubs, trees",VAM,,"McGee 1986, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, McKenzie et al. 1999, Gehring 2003, Gehring & Connell 2006.","VAM only - McGee 1986, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, McKenzie et al. 1999 (Metrosideros), Gehring 2003, Gehring & Connell 2006."
ANGIOSPERMS - DICOTYLEDONS,Nothofagaceae,(Fagaceae S. L.),Nothofagus,trees,ECM,,"Warcup 1980, McKenzie et al. 2000, Perrier et al. 2006.",
ANGIOSPERMS - DICOTYLEDONS,Nyctaginaceae,,Pisonia,tree,ECM,,"Ashford & Allaway 1982, Chambers et al. 2005.",Most other members of this family are NM.
ANGIOSPERMS - DICOTYLEDONS,Nymphaeaceae,,Nymphaea,herb,VAM,,"Brundrett et al. 1995, Khan & Belik 1995",Aquatic plant 
ANGIOSPERMS - DICOTYLEDONS,Ochnaceae,,Brackenridgea,tree,NM,,Gehring & Connell 2006,
ANGIOSPERMS - DICOTYLEDONS,Oleaceae,,Chionanthus,tree,VAM,,Reddell et al. 1996,
ANGIOSPERMS - DICOTYLEDONS,Onagraceae,,Epilobium,herb,VAM,,"Johnston & Ryan 2000, Brundrett et al. 1995","Johnston & Ryan 2000 (Epilobium alpine), Aquatic Ludwigia VAM or NM - Brundrett et al. 1995"
ANGIOSPERMS - DICOTYLEDONS,Onagraceae,,Ludwigia,herb,VAM,,"Johnston & Ryan 2000, Brundrett et al. 1995","Johnston & Ryan 2000 (Epilobium alpine), Aquatic Ludwigia VAM or NM - Brundrett et al. 1995"
ANGIOSPERMS - DICOTYLEDONS,Picrodendraceae,(Euphorbiaceae S. L.),Petalostigma,shrub,VAM,,Brundrett et al. 1995,
ANGIOSPERMS - DICOTYLEDONS,Phyllanthaceae,(Euphorbiaceae S. L.),Phyllanthus,shrubs,VAM,,"Brundrett & Abbott 1991, Brundrett et al. 1995, Reddell et al. 1996, O'Connor et al. 2001,Gehring & Connell 2006.",Some tropical trees NM: Gehring & Connell 2006
ANGIOSPERMS - DICOTYLEDONS,Phyllanthaceae,(Euphorbiaceae S. L.),Sebastiania,shrubs,VAM,,"Brundrett & Abbott 1991, Brundrett et al. 1995, Reddell et al. 1996, O'Connor et al. 2001,Gehring & Connell 2006.",Some tropical trees NM: Gehring & Connell 2006
ANGIOSPERMS - DICOTYLEDONS,Phyllanthaceae,,Actephila,trees,VAM,,"Brundrett & Abbott 1991, Brundrett et al. 1995, Reddell et al. 1996, O'Connor et al. 2001,Gehring & Connell 2006.",Some tropical trees NM: Gehring & Connell 2006
ANGIOSPERMS - DICOTYLEDONS,Phyllanthaceae,,Antidesmia,trees,VAM,,"Brundrett & Abbott 1991, Brundrett et al. 1995, Reddell et al. 1996, O'Connor et al. 2001,Gehring & Connell 2006.",Some tropical trees NM: Gehring & Connell 2006
ANGIOSPERMS - DICOTYLEDONS,Phyllanthaceae,,Baloghia,trees,VAM,,"Brundrett & Abbott 1991, Brundrett et al. 1995, Reddell et al. 1996, O'Connor et al. 2001,Gehring & Connell 2006.",Some tropical trees NM: Gehring & Connell 2006
ANGIOSPERMS - DICOTYLEDONS,Phyllanthaceae,,Rockinhamia,trees,VAM,,"Brundrett & Abbott 1991, Brundrett et al. 1995, Reddell et al. 1996, O'Connor et al. 2001,Gehring & Connell 2006.",Some tropical trees NM: Gehring & Connell 2006
ANGIOSPERMS - DICOTYLEDONS,Phyllanthaceae,,Ampera,shrubs,ECM,VAM,"Warcup 1980, Kope & Warcup 1986, Bellgard 1991",Dual associations 
ANGIOSPERMS - DICOTYLEDONS,Phyllanthaceae,,Poranthera,shrubs,ECM,VAM,"Warcup 1980, Kope & Warcup 1986, Bellgard 1991",Dual associations 
ANGIOSPERMS - DICOTYLEDONS,Pittosporaceae,,Billardiera,climbers,VAM,,"Johnson 1977, Brundrett & Abbott 1991, Reddell et al. 1996",
ANGIOSPERMS - DICOTYLEDONS,Pittosporaceae,,Pittosporum,climbers,VAM,,"Johnson 1977, Brundrett & Abbott 1991, Reddell et al. 1996",
ANGIOSPERMS - DICOTYLEDONS,Pittosporaceae,,Sollya,climbers,VAM,,"Johnson 1977, Brundrett & Abbott 1991, Reddell et al. 1996",
ANGIOSPERMS - DICOTYLEDONS,Plantaginaceae,,Plantago,herb,VAM,,O'Connor et al. 2001,
ANGIOSPERMS - DICOTYLEDONS,Polygalaceae,,Comesperma,shrubs,VAM,,"Brundrett & Abbott 1991, Brundrett et al. 1995",
ANGIOSPERMS - DICOTYLEDONS,Polygalaceae,,Polygala,shrubs,VAM,,"Brundrett & Abbott 1991, Brundrett et al. 1995",
ANGIOSPERMS - DICOTYLEDONS,Polygonaceae,,Persicaria,herbs,NM,,Brundrett et al. 1995,Considered to be a NM family.
ANGIOSPERMS - DICOTYLEDONS,Portulacaceae,,Calandrinia,herbs,NM,,"McGee 1986, Brundrett et al. 1995, Dhillion et al. 1995, O'Connor et al. 2001",
ANGIOSPERMS - DICOTYLEDONS,Portulacaceae,,Portulaca,herbs,NM,,"McGee 1986, Brundrett et al. 1995, Dhillion et al. 1995, O'Connor et al. 2001",
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Adenanthos,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Banksia,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Cardwellia,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Conospermum,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Darlingia,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Dryandra,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Grevillea,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Hakea,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Isopogon,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Lomatia,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Orites,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Placospermum,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Stenocarpus,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Stirlingia,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Synaphea,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Telopea,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Proteaceae,,Xylomelum,"shrubs, trees",NM,,"McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006, Bellgard 1991, Boulet & Lambers 2005.","Roots consistantly NM (lack arbuscules) - McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Pattinson & McGee 2004, Gehring & Connell 2006. Conospermum, Hakea, Telopea have occasional colonisation of root - Bellgard 1991, Boulet & Lambers 2005. See Nonmycorrhizal Plants page."
ANGIOSPERMS - DICOTYLEDONS,Ranunculaceae,,Clematis,"climber, herbs",VAM,,"Brundrett & Abbott 1991, Brundrett et al. 1995, Johnston & Ryan 2000, Clayton & Bagyaraj 1984",Ranuculus aquatic - Clayton & Bagyaraj 1984 
ANGIOSPERMS - DICOTYLEDONS,Ranunculaceae,,Ranunculus,"climber, herbs",VAM,,"Brundrett & Abbott 1991, Brundrett et al. 1995, Johnston & Ryan 2000, Clayton & Bagyaraj 1984",Ranuculus aquatic - Clayton & Bagyaraj 1984 
ANGIOSPERMS - DICOTYLEDONS,Rhamnaceae,,Cryptandra,shrubs,ECM,VAM,"Warcup 1980, McGee 1986, Brundrett & Abbott 1991",
ANGIOSPERMS - DICOTYLEDONS,Rhamnaceae,,Pomaderris,shrubs,ECM,VAM,"Warcup 1980, McGee 1986, Brundrett & Abbott 1991",
ANGIOSPERMS - DICOTYLEDONS,Rhamnaceae,,Spyridium,shrubs,ECM,VAM,"Warcup 1980, McGee 1986, Brundrett & Abbott 1991",
ANGIOSPERMS - DICOTYLEDONS,Rhamnaceae,,Trymalium,shrubs,ECM,VAM,"Warcup 1980, McGee 1986, Brundrett & Abbott 1991",
ANGIOSPERMS - DICOTYLEDONS,Rhamnaceae,,Alphitonia,"shrubs, trees",VAM,,"McGee 1986, Reddell & Milnes 1992",
ANGIOSPERMS - DICOTYLEDONS,Rhamnaceae,,Cryptandra,"shrubs, trees",VAM,,"McGee 1986, Reddell & Milnes 1992",
ANGIOSPERMS - DICOTYLEDONS,Rhamnaceae,,Spyridium,"shrubs, trees",VAM,,"McGee 1986, Reddell & Milnes 1992",
ANGIOSPERMS - DICOTYLEDONS,Rhizophoraceae,,Carallia,tree,VAM,,Brundrett et al. 1995,
ANGIOSPERMS - DICOTYLEDONS,Rubiaceae,,Aidia,"shrubs, trees",VAM,,"Brockhoff & Allaway 1988, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Gehring & Connell 2006.","Randia listed as NM in Gehring & Connell 2006, but is VAM in Reddell et al. 1996. Ixora has ECM-like association without Hartig net - Reddell et al. 1996."
ANGIOSPERMS - DICOTYLEDONS,Rubiaceae,,Borreria,"shrubs, trees",VAM,,"Brockhoff & Allaway 1988, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Gehring & Connell 2006.","Randia listed as NM in Gehring & Connell 2006, but is VAM in Reddell et al. 1996. Ixora has ECM-like association without Hartig net - Reddell et al. 1996."
ANGIOSPERMS - DICOTYLEDONS,Rubiaceae,,Canthium,"shrubs, trees",VAM,,"Brockhoff & Allaway 1988, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Gehring & Connell 2006.","Randia listed as NM in Gehring & Connell 2006, but is VAM in Reddell et al. 1996. Ixora has ECM-like association without Hartig net - Reddell et al. 1996."
ANGIOSPERMS - DICOTYLEDONS,Rubiaceae,,Gardenia,"shrubs, trees",VAM,,"Brockhoff & Allaway 1988, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Gehring & Connell 2006.","Randia listed as NM in Gehring & Connell 2006, but is VAM in Reddell et al. 1996. Ixora has ECM-like association without Hartig net - Reddell et al. 1996."
ANGIOSPERMS - DICOTYLEDONS,Rubiaceae,,Ixora,"shrubs, trees",VAM,,"Brockhoff & Allaway 1988, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Gehring & Connell 2006.","Randia listed as NM in Gehring & Connell 2006, but is VAM in Reddell et al. 1996. Ixora has ECM-like association without Hartig net - Reddell et al. 1996."
ANGIOSPERMS - DICOTYLEDONS,Rubiaceae,,Opercularia,"shrubs, trees",VAM,,"Brockhoff & Allaway 1988, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Gehring & Connell 2006.","Randia listed as NM in Gehring & Connell 2006, but is VAM in Reddell et al. 1996. Ixora has ECM-like association without Hartig net - Reddell et al. 1996."
ANGIOSPERMS - DICOTYLEDONS,Rubiaceae,,Pogonobolus,"shrubs, trees",VAM,,"Brockhoff & Allaway 1988, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Gehring & Connell 2006.","Randia listed as NM in Gehring & Connell 2006, but is VAM in Reddell et al. 1996. Ixora has ECM-like association without Hartig net - Reddell et al. 1996."
ANGIOSPERMS - DICOTYLEDONS,Rubiaceae,,Pomax,"shrubs, trees",VAM,,"Brockhoff & Allaway 1988, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Gehring & Connell 2006.","Randia listed as NM in Gehring & Connell 2006, but is VAM in Reddell et al. 1996. Ixora has ECM-like association without Hartig net - Reddell et al. 1996."
ANGIOSPERMS - DICOTYLEDONS,Rubiaceae,,Psychotria,"shrubs, trees",VAM,,"Brockhoff & Allaway 1988, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Gehring & Connell 2006.","Randia listed as NM in Gehring & Connell 2006, but is VAM in Reddell et al. 1996. Ixora has ECM-like association without Hartig net - Reddell et al. 1996."
ANGIOSPERMS - DICOTYLEDONS,Rubiaceae,,Randia,"shrubs, trees",VAM,,"Brockhoff & Allaway 1988, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Gehring & Connell 2006.","Randia listed as NM in Gehring & Connell 2006, but is VAM in Reddell et al. 1996. Ixora has ECM-like association without Hartig net - Reddell et al. 1996."
ANGIOSPERMS - DICOTYLEDONS,Rubiaceae,,Timonius,"shrubs, trees",VAM,,"Brockhoff & Allaway 1988, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Reddell et al. 1996, Gehring & Connell 2006.","Randia listed as NM in Gehring & Connell 2006, but is VAM in Reddell et al. 1996. Ixora has ECM-like association without Hartig net - Reddell et al. 1996."
ANGIOSPERMS - DICOTYLEDONS,Rutaceae,,Achronichia,"shrubs, trees",VAM,,"Bevege 1968, McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Bellgard 1991, Brundrett et al. 1995, Reddell et al. 1996, Gehring 2003, Gehring & Connell 2006",
ANGIOSPERMS - DICOTYLEDONS,Rutaceae,,Boronia,"shrubs, trees",VAM,,"Bevege 1968, McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Bellgard 1991, Brundrett et al. 1995, Reddell et al. 1996, Gehring 2003, Gehring & Connell 2006",
ANGIOSPERMS - DICOTYLEDONS,Rutaceae,,Correa,"shrubs, trees",VAM,,"Bevege 1968, McGee 1986, Sward 1987, Logan et al. 1989, Brundrett & Abbott 1991, Bellgard 1991, Brundrett et al. 1995, Reddell et al. 1996, Gehring 2003, Gehring & Connell 2006",
