State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Cestrum aurantiacum Lindl.,Cestrum aurantiacum,formerly naturalised,Cestrum aurantiacum Lindl.,Cestrum aurantiacum,formerly naturalised,Lindl.,accepted,Similar for the state flora and the APC,formerly naturalised,introduced,not enough information to assign degree of establishment
Cestrum diurnum L.,Cestrum diurnum,doubtfully naturalised,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,doubtfully naturalised,introduced,established
Cestrum elegans (Brongn. ex Neumann) Schltdl.,Cestrum elegans,naturalised,Cestrum elegans (Brongn. ex Neumann) Schltdl.,Cestrum elegans,naturalised,(Brongn. ex Neumann) Schltdl.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Cestrum nocturnum L.,Cestrum nocturnum,naturalised,Cestrum nocturnum L.,Cestrum nocturnum,doubtfully naturalised,L.,accepted,"According to the state flora is naturalised, while according to the APC is doubtfully naturalised",naturalised,introduced,established
Cestrum parqui L'Her.,Cestrum parqui,naturalised,Cestrum parqui L'Hér.,Cestrum parqui,naturalised,L'Hér.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Chaetospora turbinata R.Br.,Chaetospora turbinata,native,Schoenus turbinatus (R.Br.) Poir.,Schoenus turbinatus,native,(R.Br.) Poir.,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Chamaecrista absus (L.) H.S.Irwin & Barneby,Chamaecrista absus,native,Chamaecrista absus (L.) H.S.Irwin & Barneby,Chamaecrista absus,native,(L.) H.S.Irwin & Barneby,accepted,Similar for the state flora and the APC,native,native,native
Chamaecrista absus (L.) H.S.Irwin & Barneby var. absus,Chamaecrista absus var. absus,native,Chamaecrista absus (L.) H.S.Irwin & Barneby var. absus,Chamaecrista absus var. absus,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Chamaecrista biddulphiana Pedley,Chamaecrista biddulphiana,native,Chamaecrista biddulphiana Pedley,Chamaecrista biddulphiana,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
Chamaecrista concinna (Benth.) Pedley,Chamaecrista concinna,native,Chamaecrista concinna Pedley,Chamaecrista concinna,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
Chamaecrista deserti Pedley,Chamaecrista deserti,native,Chamaecrista deserti Pedley,Chamaecrista deserti,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
Chamaecrista exigua Pedley,Chamaecrista exigua,native,Chamaecrista exigua Pedley,Chamaecrista exigua,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
Chamaecrista exigua Pedley var. exigua,Chamaecrista exigua var. exigua,native,Chamaecrista exigua Pedley var. exigua,Chamaecrista exigua var. exigua,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Chamaecrista exigua var. minor Pedley,Chamaecrista exigua var. minor,native,Chamaecrista exigua var. minor Pedley,Chamaecrista exigua var. minor,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
Chamaecrista grisea Pedley,Chamaecrista grisea,native,Chamaecrista grisea Pedley,Chamaecrista grisea,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
Chamaecrista longipes (Domin) Pedley,Chamaecrista longipes,native,Chamaecrista longipes (Domin) Pedley,Chamaecrista longipes,native,(Domin) Pedley,accepted,Similar for the state flora and the APC,native,native,native
Chamaecrista maritima Pedley,Chamaecrista maritima,native,Chamaecrista maritima Pedley,Chamaecrista maritima,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
Chamaecrista mimosoides (L.) Greene,Chamaecrista mimosoides,native,Chamaecrista mimosoides (L.) Greene,Chamaecrista mimosoides,native,(L.) Greene,accepted,Similar for the state flora and the APC,native,native,native
Chamaecrista nigricans (Vahl) Greene,Chamaecrista nigricans,naturalised,Chamaecrista nigricans (Vahl) Greene,Chamaecrista nigricans,naturalised,(Vahl) Greene,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Chamaecrista nomame (Siebold) H.Ohashi,Chamaecrista nomame,native,Chamaecrista nomame (Siebold) H.Ohashi,Chamaecrista nomame,native,(Siebold) H.Ohashi,accepted,Similar for the state flora and the APC,native,native,native
Chamaecrista nomame var. grandiflora Pedley,Chamaecrista nomame var. grandiflora,native,Chamaecrista nomame var. grandiflora Pedley,Chamaecrista nomame var. grandiflora,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
Chamaecrista nomame (Siebold) H.Ohashi var. nomame,Chamaecrista nomame var. nomame,native,Chamaecrista nomame (Siebold) H.Ohashi var. nomame,Chamaecrista nomame var. nomame,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Chamaecrista rotundifolia (Pers.) Greene,Chamaecrista rotundifolia,naturalised,Chamaecrista rotundifolia (Pers.) Greene,Chamaecrista rotundifolia,naturalised,(Pers.) Greene,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Chamaecrista rotundifolia (Pers.) Greene var. rotundifolia,Chamaecrista rotundifolia var. rotundifolia,naturalised,Chamaecrista rotundifolia (Pers.) Greene var. rotundifolia,Chamaecrista rotundifolia var. rotundifolia,naturalised,NA,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Chamaecrista symonii Pedley,Chamaecrista symonii,native,Chamaecrista symonii Pedley,Chamaecrista symonii,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
Chamaecytisus palmensis (Christ) F.A.Bisby & K.W.Nicholls,Chamaecytisus palmensis,doubtfully naturalised,Chamaecytisus palmensis (Christ) F.A.Bisby & K.W.Nicholls,Chamaecytisus palmensis,doubtfully naturalised,(Christ) F.A.Bisby & K.W.Nicholls,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Chamaeraphis hordeacea R.Br.,Chamaeraphis hordeacea,native,Chamaeraphis hordeacea R.Br.,Chamaeraphis hordeacea,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Cheilanthes brownii (Kuhn) Domin,Cheilanthes brownii,native,Cheilanthes brownii (Kuhn) Domin,Cheilanthes brownii,native,(Kuhn) Domin,accepted,Similar for the state flora and the APC,native,native,native
Cheilanthes caudata R.Br.,Cheilanthes caudata,native,Cheilanthes caudata R.Br.,Cheilanthes caudata,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Cheilanthes contigua Baker,Cheilanthes contigua,native,Cheilanthes contigua Baker,Cheilanthes contigua,native,Baker,accepted,Similar for the state flora and the APC,native,native,native
