State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Pyracantha crenatoserrata (Hance) Rehder,Pyracantha crenatoserrata,naturalised,Pyracantha fortuneana (Maxim.) H.L.Li,Pyracantha fortuneana,naturalised,(Maxim.) H.L.Li,taxonomic synonym,Similar for the state flora and the APC,naturalised,introduced,established
Pyracantha crenulata (Roxb. & Lindl.) M.Roem.,Pyracantha crenulata,naturalised,Pyracantha crenulata (D.Don) M.Roem.,Pyracantha crenulata,naturalised,(D.Don) M.Roem.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Pyracantha horizontalis Decne.,Pyracantha horizontalis,naturalised,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,naturalised,introduced,established
Pyracantha rogersiana (A.B.Jacks.) Chitt.,Pyracantha rogersiana,introduced,Pyracantha rogersiana (A.B.Jacks.) Bean,Pyracantha rogersiana,doubtfully naturalised,(A.B.Jacks.) Bean,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,casual
Pyrrhobryum paramattense (M�ll.Hal.) Manuel,Pyrrhobryum paramattense,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Pyrrhobryum spiniforme (Hedw.) Mitt.,Pyrrhobryum spiniforme,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Pyrrosia rupestris (R.Br.) Ching,Pyrrosia rupestris,native,Pyrrosia rupestris (R.Br.) Ching,Pyrrosia rupestris,native,(R.Br.) Ching,accepted,Similar for the state flora and the APC,native,native,native
Pyrus communis L.,Pyrus communis,introduced,Pyrus communis L.,Pyrus communis,doubtfully naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,casual
Quercus robur L.,Quercus robur,naturalised,Quercus robur L.,Quercus robur,NA,L.,accepted,Not recorded on the APC as present in this state,naturalised,introduced,established
Quercus suber L.,Quercus suber,naturalised,Quercus suber L.,Quercus suber,NA,L.,accepted,Not recorded on the APC as present in this state,naturalised,introduced,established
Quinetia urvillei Cass.,Quinetia urvillei,native,Quinetia urvillei Cass.,Quinetia urvillei,native,Cass.,accepted,Similar for the state flora and the APC,native,native,native
Racomitrium crispulum (Hook.f. & Wilson) Hook.f. & Wilson,Racomitrium crispulum,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Racomitrium pruinosum (Wilson) M�ll.Hal.,Racomitrium pruinosum,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Racomitrium ptychophyllum (Mitt.) Mitt.,Racomitrium ptychophyllum,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Racomitrium sudeticum (Funck) Bruch & Schimp.,Racomitrium sudeticum,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Racopilum cuspidigerum (Schw�gr.) �ngstr.,Racopilum cuspidigerum,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Racopilum cuspidigerum var. convolutaceum (M�ll.Hal.) Zanten & Dijkstra,Racopilum cuspidigerum var. convolutaceum,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Racosperma brownei (Poir.) Pedley,Racosperma brownei,naturalised,Acacia brownii (Poir.) Steud.,Acacia brownii,native,(Poir.) Steud.,nomenclatural synonym,"According to the state flora is naturalised, while according to the APC is native",naturalised,introduced,established
Radula aneurismalis (Hook.f. & Taylor) Gottsche,Radula aneurismalis,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Radula australiana K.Yamada,Radula australiana,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Radula buccinifera (Hook.f. & Taylor) Gottsche,Radula buccinifera,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Radula demissa M.A.M.Renner,Radula demissa,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Radula tabularis Steph.,Radula tabularis,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Ranunculus acris L.,Ranunculus acris,introduced,Ranunculus acris L.,Ranunculus acris,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,NA
