State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Polygala canaliculata R.A.Kerrigan,Polygala canaliculata,native,Polygala canaliculata R.A.Kerrigan,Polygala canaliculata,native,R.A.Kerrigan,accepted,Similar for the state flora and the APC,native,native,native
Polygala crassitesta R.A.Kerrigan,Polygala crassitesta,native,Polygala crassitesta R.A.Kerrigan,Polygala crassitesta,native,R.A.Kerrigan,accepted,Similar for the state flora and the APC,native,native,native
Polygala dimorphotricha R.A.Kerrigan,Polygala dimorphotricha,native,Polygala dimorphotricha R.A.Kerrigan,Polygala dimorphotricha,native,R.A.Kerrigan,accepted,Similar for the state flora and the APC,native,native,native
Polygala eriocephala Benth.,Polygala eriocephala,native,Polygala eriocephala F.Muell. ex Benth.,Polygala eriocephala,native,F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Polygala exsquarrosa Adema,Polygala exsquarrosa,native,Polygala exsquarrosa Adema,Polygala exsquarrosa,native,Adema,accepted,Similar for the state flora and the APC,native,native,native
Polygala galeocephala R.A.Kerrigan,Polygala galeocephala,native,Polygala galeocephala R.A.Kerrigan,Polygala galeocephala,native,R.A.Kerrigan,accepted,Similar for the state flora and the APC,native,native,native
Polygala glaucifolia R.A.Kerrigan,Polygala glaucifolia,native,Polygala glaucifolia R.A.Kerrigan,Polygala glaucifolia,native,R.A.Kerrigan,accepted,Similar for the state flora and the APC,native,native,native
Polygala isingii Pedley,Polygala isingii,native,Polygala isingii Pedley,Polygala isingii,native,Pedley,accepted,Similar for the state flora and the APC,native,native,native
Polygala kimberleyensis R.A.Kerrigan,Polygala kimberleyensis,native,Polygala kimberleyensis R.A.Kerrigan,Polygala kimberleyensis,native,R.A.Kerrigan,accepted,Similar for the state flora and the APC,native,native,native
Polygala longifolia Poir.,Polygala longifolia,native,Polygala longifolia Poir.,Polygala longifolia,native,Poir.,accepted,Similar for the state flora and the APC,native,native,native
Polygala myrtifolia L.,Polygala myrtifolia,naturalised,Polygala myrtifolia L.,Polygala myrtifolia,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
