State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Dodonaea platyptera F.Muell.,Dodonaea platyptera,native,Dodonaea platyptera F.Muell.,Dodonaea platyptera,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Dodonaea polyzyga F.Muell.,Dodonaea polyzyga,native,Dodonaea polyzyga F.Muell.,Dodonaea polyzyga,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Dodonaea stenophylla F.Muell.,Dodonaea stenophylla,native,Dodonaea stenophylla F.Muell.,Dodonaea stenophylla,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Dodonaea viscosa Jacq.,Dodonaea viscosa,native,Dodonaea viscosa Jacq.,Dodonaea viscosa,native,Jacq.,accepted,Similar for the state flora and the APC,native,native,native
Dodonaea viscosa Jacq. subsp. angustissima (DC.) J.G.West,Dodonaea viscosa subsp. angustissima,native,Dodonaea viscosa subsp. angustissima (DC.) J.G.West,Dodonaea viscosa subsp. angustissima,native,(DC.) J.G.West,accepted,Similar for the state flora and the APC,native,native,native
Dodonaea viscosa Jacq. subsp. mucronata J.G.West,Dodonaea viscosa subsp. mucronata,native,Dodonaea viscosa subsp. mucronata J.G.West,Dodonaea viscosa subsp. mucronata,native,J.G.West,accepted,Similar for the state flora and the APC,native,native,native
Dolichandra unguis-cati (L.) L.G.Lohmann,Dolichandra unguis-cati,introduced,Dolichandra unguis-cati (L.) L.G.Lohmann,Dolichandra unguis-cati,NA,(L.) L.G.Lohmann,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Dolichandrone filiformis (DC.) F.Muell.,Dolichandrone filiformis,native,Dolichandrone filiformis F.Muell. ex Seem.,Dolichandrone filiformis,native,F.Muell. ex Seem.,accepted,Similar for the state flora and the APC,native,native,native
Dolichandrone heterophylla (R.Br.) F.Muell.,Dolichandrone heterophylla,native,Dolichandrone heterophylla (R.Br.) F.Muell.,Dolichandrone heterophylla,native,(R.Br.) F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Dolichandrone occidentalis Jackes,Dolichandrone occidentalis,native,Dolichandrone occidentalis Jackes,Dolichandrone occidentalis,native,Jackes,accepted,Similar for the state flora and the APC,native,native,native
Doodia caudata (Cav.) R.Br.,Doodia caudata,native,Blechnum medium (R.Br.) Christenh.,Blechnum medium,NA,(R.Br.) Christenh.,misapplied,Not recorded on the APC as present in this state,native,native,native
