State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Ligustrum sinense,introduced,Ligustrum sinense Lour.,Ligustrum sinense,naturalised,Lour.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Lilaeopsis polyantha,native,Lilaeopsis polyantha (Gand.) H.Eichler,Lilaeopsis polyantha,native,(Gand.) H.Eichler,accepted,Similar for the state flora and the APC,native,native,native
Limosella australis,native,Limosella australis R.Br.,Limosella australis,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Linaria arvensis,introduced,Linaria arvensis (L.) Desf.,Linaria arvensis,naturalised,(L.) Desf.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Linaria pelisseriana,introduced,Linaria pelisseriana (L.) Mill.,Linaria pelisseriana,naturalised,(L.) Mill.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Lindsaea microphylla,native,Lindsaea microphylla Sw.,Lindsaea microphylla,NA,Sw.,accepted,Not recorded on the APC as present in this state,native,native,native
Linguella nana,native,Pterostylis nana R.Br.,Pterostylis nana,NA,R.Br.,nomenclatural synonym,Not recorded on the APC as present in this state,native,native,native
Linum marginale,native,Linum marginale A.Cunn.,Linum marginale,native,A.Cunn.,accepted,Similar for the state flora and the APC,native,native,native
Linum trigynum,introduced,Linum trigynum L.,Linum trigynum,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Linum usitatissimum,formerly naturalised,Linum usitatissimum L.,Linum usitatissimum,formerly naturalised,L.,accepted,Similar for the state flora and the APC,formerly naturalised,introduced,not enough information to assign degree of establishment
Lipocarpha microcephala,native,Cyperus leptocarpus (F.Muell.) Bauters,Cyperus leptocarpus,native,(F.Muell.) Bauters,taxonomic synonym,Similar for the state flora and the APC,native,native,native
Lissanthe strigosa subsp. subulata,native,Lissanthe strigosa subsp. subulata (R.Br.) J.M.Powell,Lissanthe strigosa subsp. subulata,native,(R.Br.) J.M.Powell,accepted,Similar for the state flora and the APC,native,native,native
Lobelia browniana,native,Lobelia browniana Schult.,Lobelia browniana,NA,Schult.,accepted,Not recorded on the APC as present in this state,native,native,native
Lobelia gibbosa,native,Lobelia gibbosa Labill.,Lobelia gibbosa,native,Labill.,accepted,Similar for the state flora and the APC,native,native,native
Lobelia pedunculata,native,Lobelia pedunculata R.Br.,Lobelia pedunculata,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Lobelia simplicicaulis,native,Lobelia simplicicaulis R.Br.,Lobelia simplicicaulis,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Lobelia surrepens,native,Lobelia surrepens Hook.f.,Lobelia surrepens,native,Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Lobularia maritima,introduced,Lobularia maritima (L.) Desv.,Lobularia maritima,naturalised,(L.) Desv.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Logania granitica,native,Logania granitica A.J.Whalen & B.J.Conn,Logania granitica,native,A.J.Whalen & B.J.Conn,accepted,Similar for the state flora and the APC,native,native,native
Logfia gallica,introduced,Logfia gallica (L.) Coss. & Germ.,Logfia gallica,naturalised,(L.) Coss. & Germ.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Lolium perenne,introduced,Lolium perenne L.,Lolium perenne,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Lolium perenne x Lolium rigidum,formerly naturalised,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,formerly naturalised,introduced,not enough information to assign degree of establishment
Lolium rigidum,introduced,Lolium rigidum Gaudin,Lolium rigidum,naturalised,Gaudin,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Lomandra bracteata,native,Lomandra bracteata A.T.Lee,Lomandra bracteata,native,A.T.Lee,accepted,Similar for the state flora and the APC,native,native,native
Lomandra filiformis subsp. coriacea,native,Lomandra filiformis subsp. coriacea A.T.Lee,Lomandra filiformis subsp. coriacea,native,A.T.Lee,accepted,Similar for the state flora and the APC,native,native,native
Lomandra filiformis subsp. filiformis,native,Lomandra filiformis (Thunb.) Britten subsp. filiformis,Lomandra filiformis subsp. filiformis,native,NA,accepted,Similar for the state flora and the APC,native,native,native
