State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Acacia crassa Pedley subsp. crassa,Acacia crassa subsp. crassa,native,Acacia crassa Pedley subsp. crassa,Acacia crassa subsp. crassa,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia cremiflora B.J.Conn & Tame,Acacia cremiflora,native,Acacia cremiflora B.J.Conn & Tame,Acacia cremiflora,native,B.J.Conn & Tame,accepted,Similar for the state flora and the APC,native,native,native
Acacia cultriformis A.Cunn. ex G.Don,Acacia cultriformis,native colonising,Acacia cultriformis A.Cunn. ex G.Don,Acacia cultriformis,native,A.Cunn. ex G.Don,accepted,"According to the state flora is native colonising, while according to the APC is native",native colonising,native,native
Acacia curranii Maiden,Acacia curranii,native,Acacia curranii Maiden,Acacia curranii,native,Maiden,accepted,Similar for the state flora and the APC,native,native,native
Acacia dallachiana F.Muell.,Acacia dallachiana,native,Acacia dallachiana F.Muell.,Acacia dallachiana,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Acacia dangarensis Tindale & Kodela,Acacia dangarensis,native,Acacia dangarensis Tindale & Kodela,Acacia dangarensis,native,Tindale & Kodela,accepted,Similar for the state flora and the APC,native,native,native
Acacia dawsonii R.T.Baker,Acacia dawsonii,native,Acacia dawsonii R.T.Baker,Acacia dawsonii,native,R.T.Baker,accepted,Similar for the state flora and the APC,native,native,native
Acacia dealbata Link subsp. dealbata,Acacia dealbata subsp. dealbata,native,Acacia dealbata Link subsp. dealbata,Acacia dealbata subsp. dealbata,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia dealbata subsp. subalpina Tindale & Kodela,Acacia dealbata subsp. subalpina,native,Acacia dealbata subsp. subalpina Tindale & Kodela,Acacia dealbata subsp. subalpina,native,Tindale & Kodela,accepted,Similar for the state flora and the APC,native,native,native
"Acacia deanei (R.T.Baker) M.B.Welch, Coombs & McGlynn subsp. deanei",Acacia deanei subsp. deanei,native,"Acacia deanei (R.T.Baker) M.B.Welch, Coombs & McGlynn subsp. deanei",Acacia deanei subsp. deanei,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Acacia deanei subsp. paucijuga (F.Muell. ex N.A.Wakef.) Tindale,Acacia deanei subsp. paucijuga,native,Acacia deanei subsp. paucijuga (F.Muell. ex N.A.Wakef.) Tindale,Acacia deanei subsp. paucijuga,native,(F.Muell. ex N.A.Wakef.) Tindale,accepted,Similar for the state flora and the APC,native,native,native
Acacia debilis Tindale,Acacia debilis,native,Acacia debilis Tindale,Acacia debilis,native,Tindale,accepted,Similar for the state flora and the APC,native,native,native
Acacia decora Rchb.,Acacia decora,native,Acacia decora Rchb.,Acacia decora,native,Rchb.,accepted,Similar for the state flora and the APC,native,native,native
Acacia decurrens Willd.,Acacia decurrens,native colonising,Acacia decurrens Willd.,Acacia decurrens,native,Willd.,accepted,"According to the state flora is native colonising, while according to the APC is native",native colonising,native,native
Acacia difformis R.T.Baker,Acacia difformis,native,Acacia difformis R.T.Baker,Acacia difformis,native,R.T.Baker,accepted,Similar for the state flora and the APC,native,native,native
Acacia disparrima M.McDonald & Maslin subsp. disparrima,Acacia disparrima subsp. disparrima,native,Acacia disparrima M.W.McDonald & Maslin subsp. disparrima,Acacia disparrima subsp. disparrima,native,NA,accepted,Similar for the state flora and the APC,native,native,native
