State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Diplotaxis muralis (L.) DC.,Diplotaxis muralis,introduced,Diplotaxis muralis (L.) DC.,Diplotaxis muralis,naturalised,(L.) DC.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Diplotaxis tenuifolia (L.) DC.,Diplotaxis tenuifolia,introduced,Diplotaxis tenuifolia (L.) DC.,Diplotaxis tenuifolia,naturalised,(L.) DC.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Dipodium roseum D.L.Jones & M.A.Clem.,Dipodium roseum,native,Dipodium roseum D.L.Jones & M.A.Clem.,Dipodium roseum,native,D.L.Jones & M.A.Clem.,accepted,Similar for the state flora and the APC,native,native,native
Dipogon lignosus (L.) Verdc.,Dipogon lignosus,introduced,Dipogon lignosus (L.) Verdc.,Dipogon lignosus,naturalised,(L.) Verdc.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Dipsacus fullonum L.,Dipsacus fullonum,introduced,Dipsacus fullonum L.,Dipsacus fullonum,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Disa bracteata Sw.,Disa bracteata,introduced,Disa bracteata Sw.,Disa bracteata,naturalised,Sw.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Discaria pubescens (Brongn.) Druce,Discaria pubescens,native,Discaria pubescens (Brongn.) Druce,Discaria pubescens,native,(Brongn.) Druce,accepted,Similar for the state flora and the APC,native,native,native
Diselma archeri Hook.f.,Diselma archeri,native,Diselma archeri Hook.f.,Diselma archeri,native,Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Disphyma crassifolium (L.) L.Bolus subsp. clavellatum (Haw.) Chinnock,Disphyma crassifolium subsp. clavellatum,native,Disphyma crassifolium subsp. clavellatum (Haw.) Chinnock,Disphyma crassifolium subsp. clavellatum,native,(Haw.) Chinnock,accepted,Similar for the state flora and the APC,native,native,native
Distichlis distichophylla (Labill.) Fassett,Distichlis distichophylla,native,Distichlis distichophylla (Labill.) Fassett,Distichlis distichophylla,native,(Labill.) Fassett,accepted,Similar for the state flora and the APC,native,native,native
Dittrichia graveolens (L.) Greuter,Dittrichia graveolens,introduced,Dittrichia graveolens (L.) Greuter,Dittrichia graveolens,naturalised,(L.) Greuter,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Diuris chryseopsis D.L.Jones,Diuris chryseopsis,native,Diuris chryseopsis D.L.Jones,Diuris chryseopsis,native,D.L.Jones,accepted,Similar for the state flora and the APC,native,native,native
Diuris lanceolata Lindl.,Diuris lanceolata,native,Diuris lanceolata Lindl.,Diuris lanceolata,native,Lindl.,accepted,Similar for the state flora and the APC,native,native,native
Diuris monticola D.L.Jones,Diuris monticola,native,Diuris monticola D.L.Jones,Diuris monticola,native,D.L.Jones,accepted,Similar for the state flora and the APC,native,native,native
