State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Trachymene ceratocarpa (W.Fitzg.) Keighery & Rye,Trachymene ceratocarpa,native,Trachymene ceratocarpa (W.Fitzg.) Keighery & Rye,Trachymene ceratocarpa,native,(W.Fitzg.) Keighery & Rye,accepted,Similar for the state flora and the APC,native,native,native
Trachymene cf. anisocarpa,Trachymene cf. anisocarpa,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Trachymene cyanopetala (F.Muell.) Benth.,Trachymene cyanopetala,native,Trachymene cyanopetala (F.Muell.) Benth.,Trachymene cyanopetala,native,(F.Muell.) Benth.,accepted,Similar for the state flora and the APC,native,native,native
Trachymene glaucifolia (F.Muell.) Benth.,Trachymene glaucifolia,native,Trachymene glaucifolia (F.Muell.) Benth.,Trachymene glaucifolia,native,(F.Muell.) Benth.,accepted,Similar for the state flora and the APC,native,native,native
Trachymene ornata (Endl.) Druce,Trachymene ornata,native,Trachymene ornata (Endl.) Druce,Trachymene ornata,native,(Endl.) Druce,accepted,Similar for the state flora and the APC,native,native,native
Trachymene pilosa Sm.,Trachymene pilosa,native,Trachymene pilosa Sm.,Trachymene pilosa,native,Sm.,accepted,Similar for the state flora and the APC,native,native,native
Trachymene thysanocarpa J.M.Hart,Trachymene thysanocarpa,native,Trachymene thysanocarpa J.M.Hart,Trachymene thysanocarpa,native,J.M.Hart,accepted,Similar for the state flora and the APC,native,native,native
Tradescantia cerinthoides Kunth,Tradescantia cerinthoides,introduced,Tradescantia cerinthoides Kunth,Tradescantia cerinthoides,naturalised,Kunth,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Tradescantia crassula Link & Otto,Tradescantia crassula,introduced,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,introduced,introduced,not enough information to assign degree of establishment
Tradescantia fluminensis Vell.,Tradescantia fluminensis,introduced,Tradescantia fluminensis Vell.,Tradescantia fluminensis,naturalised,Vell.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Tragopogon brevirostris DC. subsp. longifolius (Heldr. & Sartori ex Boiss.) I.Richardson,Tragopogon brevirostris subsp. longifolius,introduced,Tragopogon brevirostris subsp. longifolius (Heldr. & Sartori ex Boiss.) I.Richardson,Tragopogon brevirostris subsp. longifolius,doubtfully naturalised,(Heldr. & Sartori ex Boiss.) I.Richardson,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Tragopogon hybridus L.,Tragopogon hybridus,introduced,Tragopogon hybridus L.,Tragopogon hybridus,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Tragopogon porrifolius L.,Tragopogon porrifolius,introduced,Tragopogon porrifolius L.,Tragopogon porrifolius,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Tragus australianus S.T.Blake,Tragus australianus,native,Tragus australianus S.T.Blake,Tragus australianus,native,S.T.Blake,accepted,Similar for the state flora and the APC,native,native,native
Trianthema pilosum F.Muell.,Trianthema pilosum,native,Trianthema pilosum F.Muell.,Trianthema pilosum,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Trianthema triquetrum Willd.,Trianthema triquetrum,native,Trianthema triquetrum Willd.,Trianthema triquetrum,native,Willd.,accepted,Similar for the state flora and the APC,native,native,native
Tribolium acutiflorum (Nees) Renvoize,Tribolium acutiflorum,introduced,Tribolium acutiflorum (Nees) Renvoize,Tribolium acutiflorum,naturalised,(Nees) Renvoize,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Tribolium obliterum (Hemsl.) Renvoize,Tribolium obliterum,introduced,Tribolium obliterum (Hemsl.) Renvoize,Tribolium obliterum,naturalised,(Hemsl.) Renvoize,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Tribulus astrocarpus F.Muell.,Tribulus astrocarpus,native,Tribulus astrocarpus F.Muell.,Tribulus astrocarpus,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Tribulus eichlerianus K.L.Wilson,Tribulus eichlerianus,native,Tribulus eichlerianus K.L.Wilson,Tribulus eichlerianus,native,K.L.Wilson,accepted,Similar for the state flora and the APC,native,native,native
Tribulus hystrix R.Br.,Tribulus hystrix,native,Tribulus hystrix R.Br.,Tribulus hystrix,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Tribulus macrocarpus F.Muell. ex Benth.,Tribulus macrocarpus,native,Tribulus macrocarpus F.Muell. ex Benth.,Tribulus macrocarpus,native,F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Tribulus micrococcus Domin,Tribulus micrococcus,native,Tribulus micrococcus Domin,Tribulus micrococcus,NA,Domin,accepted,Not recorded on the APC as present in this state,native,native,native
Tribulus minutus Leichh. ex Benth.,Tribulus minutus,native,Tribulus minutus Leichh. ex Benth.,Tribulus minutus,native,Leichh. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Tribulus terrestris (long style) ,Tribulus terrestris (long style),native,Tribulus terrestris L.,Tribulus terrestris,naturalised,L.,NA,"According to the state flora is native, while according to the APC is naturalised",naturalised,introduced,established
Tribulus terrestris (short style)  s.str.,Tribulus terrestris (short style) s.str.,introduced,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,introduced,introduced,not enough information to assign degree of establishment
Tribulus terrestris L.,Tribulus terrestris,introduced,Tribulus terrestris L.,Tribulus terrestris,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trichanthodium skirrophorum Sond. & F.Muell. ex Sond.,Trichanthodium skirrophorum,native,Trichanthodium skirrophorum Sond. & F.Muell. ex Sond.,Trichanthodium skirrophorum,native,Sond. & F.Muell. ex Sond.,accepted,Similar for the state flora and the APC,native,native,native
Trichodesma zeylanicum (Burm.f.) R.Br. var. zeylanicum,Trichodesma zeylanicum var. zeylanicum,native,Trichodesma zeylanicum (Burm.f.) R.Br. var. zeylanicum,Trichodesma zeylanicum var. zeylanicum,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Tricoryne elatior R.Br.,Tricoryne elatior,native,Tricoryne elatior R.Br.,Tricoryne elatior,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Tricoryne tenella R.Br.,Tricoryne tenella,native,Tricoryne tenella R.Br.,Tricoryne tenella,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Tricostularia pauciflora (F.Muell.) Benth.,Tricostularia pauciflora,native,Tricostularia pauciflora (F.Muell.) Benth.,Tricostularia pauciflora,native,(F.Muell.) Benth.,accepted,Similar for the state flora and the APC,native,native,native
Trifolium angustifolium L.,Trifolium angustifolium,introduced,Trifolium angustifolium L.,Trifolium angustifolium,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium arvense L. var. arvense,Trifolium arvense var. arvense,introduced,Trifolium arvense L. var. arvense,Trifolium arvense var. arvense,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium campestre Schreb.,Trifolium campestre,introduced,Trifolium campestre Schreb.,Trifolium campestre,naturalised,Schreb.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium cernuum Brot.,Trifolium cernuum,introduced,Trifolium cernuum Brot.,Trifolium cernuum,naturalised,Brot.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium cherleri L.,Trifolium cherleri,introduced,Trifolium cherleri L.,Trifolium cherleri,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium dubium Sibth.,Trifolium dubium,introduced,Trifolium dubium Sibth.,Trifolium dubium,naturalised,Sibth.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium fragiferum,Trifolium fragiferum var.,introduced,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,introduced,introduced,not enough information to assign degree of establishment
Trifolium fragiferum L. var. fragiferum,Trifolium fragiferum var. fragiferum,introduced,Trifolium fragiferum L. var. fragiferum,Trifolium fragiferum var. fragiferum,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium glomeratum L.,Trifolium glomeratum,introduced,Trifolium glomeratum L.,Trifolium glomeratum,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium hirtum All.,Trifolium hirtum,introduced,Trifolium hirtum All.,Trifolium hirtum,naturalised,All.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium incarnatum L. var. incarnatum,Trifolium incarnatum var. incarnatum,introduced,Trifolium incarnatum L. var. incarnatum,Trifolium incarnatum var. incarnatum,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium lappaceum L.,Trifolium lappaceum,introduced,Trifolium lappaceum L.,Trifolium lappaceum,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium michelianum,Trifolium michelianum,introduced,Trifolium michelianum Savi,Trifolium michelianum,doubtfully naturalised,Savi,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Trifolium micranthum Viv.,Trifolium micranthum,introduced,Trifolium micranthum Viv.,Trifolium micranthum,naturalised,Viv.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium nigrescens Viv.,Trifolium nigrescens,introduced,Trifolium nigrescens Viv.,Trifolium nigrescens,naturalised,Viv.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium ornithopodioides L.,Trifolium ornithopodioides,introduced,Trifolium ornithopodioides L.,Trifolium ornithopodioides,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium pilulare Boiss.,Trifolium pilulare,introduced,Trifolium pilulare Boiss.,Trifolium pilulare,naturalised,Boiss.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium pratense L. var. pratense,Trifolium pratense var. pratense,introduced,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,introduced,introduced,not enough information to assign degree of establishment
Trifolium repens L.,Trifolium repens,introduced,Trifolium repens L.,Trifolium repens,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium resupinatum,Trifolium resupinatum var.,introduced,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,introduced,introduced,not enough information to assign degree of establishment
Trifolium resupinatum L. var. majus Boiss.,Trifolium resupinatum var. majus,introduced,Trifolium resupinatum var. majus Boiss.,Trifolium resupinatum var. majus,naturalised,Boiss.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium resupinatum L. var. resupinatum,Trifolium resupinatum var. resupinatum,introduced,Trifolium resupinatum L. var. resupinatum,Trifolium resupinatum var. resupinatum,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium rubens L.,Trifolium rubens,introduced,Trifolium rubens L.,Trifolium rubens,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium scabrum L.,Trifolium scabrum,introduced,Trifolium scabrum L.,Trifolium scabrum,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium squamosum L.,Trifolium squamosum,introduced,Trifolium squamosum L.,Trifolium squamosum,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium stellatum L.,Trifolium stellatum,introduced,Trifolium stellatum L.,Trifolium stellatum,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium striatum L.,Trifolium striatum,introduced,Trifolium striatum L.,Trifolium striatum,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium strictum L.,Trifolium strictum,introduced,Trifolium strictum L.,Trifolium strictum,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium subterraneum L.,Trifolium subterraneum,introduced,Trifolium subterraneum L.,Trifolium subterraneum,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium suffocatum L.,Trifolium suffocatum,introduced,Trifolium suffocatum L.,Trifolium suffocatum,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium tomentosum L.,Trifolium tomentosum,introduced,Trifolium tomentosum L.,Trifolium tomentosum,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Trifolium vesiculosum Savi var. vesiculosum,Trifolium vesiculosum var. vesiculosum,introduced,Trifolium vesiculosum Savi var. vesiculosum,Trifolium vesiculosum var. vesiculosum,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Triglochin hexagona J.M.Black,Triglochin hexagona,native,Triglochin hexagona J.M.Black,Triglochin hexagona,native,J.M.Black,accepted,Similar for the state flora and the APC,native,native,native
Triglochin isingiana (J.M.Black) Aston,Triglochin isingiana,native,Triglochin isingiana (J.M.Black) Aston,Triglochin isingiana,native,(J.M.Black) Aston,accepted,Similar for the state flora and the APC,native,native,native
Triglochin longicarpa (Ostenf.) Aston,Triglochin longicarpa,native,Triglochin longicarpa (Ostenf.) Aston,Triglochin longicarpa,NA,(Ostenf.) Aston,accepted,Not recorded on the APC as present in this state,native,native,native
Triglochin minutissima F.Muell.,Triglochin minutissima,native,Triglochin minutissima F.Muell.,Triglochin minutissima,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Triglochin mucronata R.Br.,Triglochin mucronata,native,Triglochin mucronata R.Br.,Triglochin mucronata,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Triglochin nana F.Muell.,Triglochin nana,native,Triglochin nana F.Muell.,Triglochin nana,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Triglochin nanum/sp. C (J.Z.Weber 6793) ,Triglochin nanum/sp. C (J.Z.Weber 6793),native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Triglochin sp. A Flora of Australia (G.J.Keighery 2477)  Aston,Triglochin sp. A Flora of Australia (G.J.Keighery 2477),native,Triglochin sp. A Flora of Australia (G.J.Keighery 2477) Aston,Triglochin sp. A Flora of Australia (G.J.Keighery 2477),native,Aston,accepted,Similar for the state flora and the APC,native,native,native
