"Site","Plot","Lat","Long","Harvest_date","formatted_coords"
"SAMMDDMallee01","SAM106",-33.76665359,140.6180663,2024-04-23,"33.76665359 S 140.6180663 E"
"SAMMDDMallee01","SAM108",-33.76529918,140.6204913,2024-04-23,"33.76529918 S 140.6204913 E"
"SAMMDDMallee02","SAM210",-33.79777442,140.5258436,2024-04-23,"33.79777442 S 140.5258436 E"
"SAMMDDMallee02","SAM211",-33.79901304,140.5242811,2024-04-23,"33.79901304 S 140.5242811 E"
"SAMMDDMallee02","SAM213",-33.79736024,140.5236853,2024-04-23,"33.79736024 S 140.5236853 E"
"SAMMDDMallee02","SAM214",-33.79707644,140.5225958,2024-04-23,"33.79707644 S 140.5225958 E"
"SAMMDDMallee02","SAM215",-33.79946457,140.5338826,2024-04-23,"33.79946457 S 140.5338826 E"
"SAMMDDMallee02","SAM216",-34.04250441,140.7127688,2024-04-23,"34.04250441 S 140.7127688 E"
"VCMSECRainfo01","VCRF13",-37.53085,149.735442,2024-05-08,"37.53085 S 149.735442 E"
"VCMSECRainfo01","VCRF14",-37.531003,149.735489,2024-05-08,"37.531003 S 149.735489 E"
"VCMSECRainfo01","VCRF15",-37.530914,149.751433,2024-05-08,"37.530914 S 149.751433 E"
"VCMSECEucFor01","VCEF01",-37.6901963014153,148.570509439808,2024-05-08,"37.6901963014153 S 148.570509439808 E"
"VCMSECEucFor01","VCEF02",-37.6894537582983,148.570096837595,2024-05-08,"37.6894537582983 S 148.570096837595 E"
"VCMSECEucFor01","VCEF03",-37.6890568660331,148.570122491189,2024-05-08,"37.6890568660331 S 148.570122491189 E"
"VCMSECEucFor01","VCEF04",-37.6886778427186,148.570159862409,2024-05-08,"37.6886778427186 S 148.570159862409 E"
"VCMSECEucFor01","VCEF05",-37.6904609666795,148.566874473166,2024-05-08,"37.6904609666795 S 148.566874473166 E"
"VCMSECEucFor01","VCEF06",-37.6902810681201,148.56684800463,2024-05-08,"37.6902810681201 S 148.56684800463 E"
"VCMSECEucFor01","VCEF07",-37.6891376704269,148.567436360648,2024-05-08,"37.6891376704269 S 148.567436360648 E"
"VCMSECEucFor01","VCEF08",-37.6887239642557,148.567370946323,2024-05-08,"37.6887239642557 S 148.567370946323 E"
"SAMMDDMallee02","SAM209",-33.79822258,140.5251173,2024-04-23,"33.79822258 S 140.5251173 E"
"VCMSECRainfo01","VCRF16",-37.530994,149.735336,2024-05-08,"37.530994 S 149.735336 E"
"VCMSECRainfo01","VCRF17",-37.539858,149.740111,2024-05-09,"37.539858 S 149.740111 E"
"VCMSECRainfo01","VCRF18",-37.539778,149.740889,2024-05-09,"37.539778 S 149.740889 E"
"WAMCOOEucWoo01","WAEW09",-32.18829,121.34023,2024-06-17,"32.18829 S 121.34023 E"
"WAMCOOEucWoo02","WAEW17",-32.32404,123.5667,2024-06-18,"32.32404 S 123.5667 E"
"WAMCOOEucWoo02","WAEW19",-32.3225,123.56755,2024-06-18,"32.3225 S 123.56755 E"
"WAMCOOEucWoo02","WAEW24",-32.31687,123.55198,2024-06-18,"32.31687 S 123.55198 E"
"WAMCOOEucWoo03","WAEW31",-32.145223,121.6826,2024-06-17,"32.145223 S 121.6826 E"
"WAMDALRainfo01","WABVT12",-17.9487,122.2087,2024-08-19,"17.9487 S 122.2087 E"
"WAMDALRainfo01","WABVT15",-17.9468,122.2087,2024-08-19,"17.9468 S 122.2087 E"
"NSMSEQCasWoo01","NSS01",-29.14481,152.91949,2024-03-19,"29.14481 S 152.91949 E"
"NSMSEQCasWoo01","NSS02",-29.14629,152.91916,2024-03-19,"29.14629 S 152.91916 E"
"NSMSEQCasWoo01","NSS04",-29.1462,152.91995,2024-03-19,"29.1462 S 152.91995 E"
"NSMSEQCasWoo01","NSS05",-29.10022,152.91724,2024-03-19,"29.10022 S 152.91724 E"
"NSMSEQCasWoo01","NSS08",-29.09967,152.91635,2024-03-19,"29.09967 S 152.91635 E"
"NSMSEQCasWoo01","NSS03",-29.14623,152.91951,2024-03-19,"29.14623 S 152.91951 E"
"SAMMDDMallee01","SAM102",-33.77061782,140.6109426,2024-04-23,"33.77061782 S 140.6109426 E"
"SAMMDDMallee01","SAM103",-33.76786011,140.6174022,2024-04-23,"33.76786011 S 140.6174022 E"
"SAMMDDMallee01","SAM105",-33.76572332,140.6176493,2024-04-23,"33.76572332 S 140.6176493 E"
"SAMMDDMallee01","SAM107",-33.76452134,140.619782,2024-04-23,"33.76452134 S 140.619782 E"
"SAMMDDMallee02","SAM212",-33.79926311,140.5236423,2024-04-23,"33.79926311 S 140.5236423 E"
"VCMSECRainfo01","VCRF19",-37.540008,149.741089,2024-05-09,"37.540008 S 149.741089 E"
"WAMCOOEucWoo03","WAEW32",-32.14552,121.68298,2024-06-17,"32.14552 S 121.68298 E"
"WAMDALEucWoo02","WABEW17",-17.9834,122.1918,2024-10-03,"17.9834 S 122.1918 E"
"WAMDALRainfo01","WABVT09",-17.9478,122.2095,2024-08-19,"17.9478 S 122.2095 E"
"WAMDALRainfo01","WABVT10",-17.9429,122.2094,2024-08-19,"17.9429 S 122.2094 E"
"WAMDALRainfo01","WABVT11",-17.9467,122.2098,2024-08-19,"17.9467 S 122.2098 E"
"WAMDALRainfo01","WABVT13",-17.9468,122.2094,2024-08-19,"17.9468 S 122.2094 E"
"WAMDALRainfo01","WABVT14",-17.9866,122.2087,2024-08-19,"17.9866 S 122.2087 E"
"WAMDALRainfo01","WABVT16",-17.9477,122.2089,2024-08-19,"17.9477 S 122.2089 E"
